,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
89,PB,Entidades Empresariais,20,319813.49,924,12041804.639999999,0.021645021645021644,0.026558601435673186,0.021645021645021644,0.026558601435673186
90,PR,Microempresa-ME,796,18322803.57,1888,44107396.84,0.4216101694915254,0.41541339735977034,0.4216101694915254,0.41541339735977034
91,PR,MEI,454,7684723.75,1888,44107396.84,0.24046610169491525,0.17422755139861026,0.24046610169491525,0.17422755139861026
92,PR,Empresa de Pequeno Porte (EPP),231,5935215.51,1888,44107396.84,0.12235169491525423,0.13456281565493539,0.12235169491525423,0.13456281565493539
93,PR,Administração Pública,15,198161.55,1888,44107396.84,0.007944915254237288,0.004492705627557955,0.007944915254237288,0.004492705627557955
94,PR,Entidades sem fins lucrativos,336,10652470.06,1888,44107396.84,0.17796610169491525,0.24151210053592453,0.17796610169491525,0.24151210053592453
95,PR,Entidades Empresariais,56,1314022.4,1888,44107396.84,0.029661016949152543,0.029791429423201475,0.029661016949152543,0.029791429423201475
96,PE,Microempresa-ME,243,5705669.58,905,20097020.740000002,0.26850828729281767,0.28390623932848663,0.26850828729281767,0.28390623932848663
97,PE,MEI,252,3401822.08,905,20097020.740000002,0.27845303867403315,0.1692699691168254,0.27845303867403315,0.1692699691168254
98,PE,Empresa de Pequeno Porte (EPP),43,1160642.29,905,20097020.740000002,0.04751381215469613,0.05775195761677857,0.04751381215469613,0.05775195761677857
99,PE,Administração Pública,2,25795.0,905,20097020.740000002,0.0022099447513812156,0.0012835235796248672,0.0022099447513812156,0.0012835235796248672
100,PE,Entidades sem fins lucrativos,347,8962519.72,905,20097020.740000002,0.3834254143646409,0.44596260490299916,0.3834254143646409,0.44596260490299916
101,PE,Entidades Empresariais,18,840572.07,905,20097020.740000002,0.019889502762430938,0.0418257054552853,0.019889502762430938,0.0418257054552853
102,PI,Microempresa-ME,251,6563485.0200000005,574,13803113.9,0.4372822299651568,0.47550756065267274,0.4372822299651568,0.47550756065267274
103,PI,MEI,71,729967.54,574,13803113.9,0.12369337979094076,0.05288426548447159,0.12369337979094076,0.05288426548447159
104,PI,Empresa de Pequeno Porte (EPP),92,1919277.73,574,13803113.9,0.1602787456445993,0.13904672118948463,0.1602787456445993,0.13904672118948463
105,PI,Administração Pública,0,0.0,574,13803113.9,0.0,0.0,0.0,0.0
106,PI,Entidades sem fins lucrativos,142,4101637.19,574,13803113.9,0.24738675958188153,0.2971530351567989,0.24738675958188153,0.2971530351567989
107,PI,Entidades Empresariais,18,488746.42000000004,574,13803113.9,0.0313588850174216,0.035408417516572116,0.0313588850174216,0.035408417516572116
108,RJ,Microempresa-ME,243,16571104.59,1153,65466436.61,0.21075455333911536,0.2531236683725163,0.21075455333911536,0.2531236683725163
109,RJ,MEI,467,13942291.51,1153,65466436.61,0.40503035559410233,0.21296854131618206,0.40503035559410233,0.21296854131618206
110,RJ,Empresa de Pequeno Porte (EPP),21,2001276.54,1153,65466436.61,0.01821335646140503,0.030569504674923836,0.01821335646140503,0.030569504674923836
111,RJ,Administração Pública,2,293138.03,1153,65466436.61,0.0017346053772766695,0.0044776842177358285,0.0017346053772766695,0.0044776842177358285
112,RJ,Entidades sem fins lucrativos,399,27158988.18,1153,65466436.61,0.3460537727666956,0.41485361944767074,0.3460537727666956,0.41485361944767074
