,cbo_descricao_rais,soma_quantidade,percentual_quantidade,soma_valor,percentual_valor
215,GERENTE DE PROJETOS DE TECNOLOGIA DA INFORMACAO,9,0.00014955134596211366,425544.46,0.0007001252137014351
216,CARREGADOR (ARMAZEM),48,0.0007976071784646061,424176.77,0.0006978750275433841
217,AGENTE DE SEGURANCA,40,0.0006646726487205051,422795.79,0.0006956029760693326
218,TECNICO DE OBRAS CIVIS,42,0.0006979062811565304,422711.05,0.000695463557944587
219,OPERADOR DE CAMERA DE TELEVISAO,19,0.00031571950814223993,422443.24,0.0006950229446806254
220,FOTOGRAFO,36,0.0005982053838484546,420588.15,0.0006919708657446539
221,MONTADOR DE MOVEIS E ARTEFATOS DE MADEIRA,72,0.0011964107676969093,420388.01,0.0006916415862605074
222,SOLDADOR,57,0.0009471585244267199,419072.7,0.0006894775780747737
223,MECANICO DE MANUTENCAO DE MAQUINAS EM GERAL,72,0.0011964107676969093,415399.71,0.000683434606892225
224,TECNICO DE PLANEJAMENTO DE PRODUCAO,40,0.0006646726487205051,413800.44,0.000680803414723688
225,ANALISTA FINANCEIRO (INSTITUICOES FINANCEIRAS),20,0.00033233632436025255,412145.71,0.0006780809772259277
226,TECNICO EM RADIOLOGIA E IMAGENOLOGIA,47,0.0007809903622465936,411912.8,0.000677697783038596
227,GERENTE DE PROJETOS E SERVICOS DE MANUTENCAO,32,0.0005317381189764042,409993.4,0.0006745398983485251
228,PROFESSOR DE ARTES VISUAIS NO ENSINO SUPERIOR (ARTES PLASTICAS E MULTIMIDIA),12,0.00019940179461615153,407778.74,0.0006708962383986903
229,INSPETOR DE ALUNOS DE ESCOLA PRIVADA,38,0.0006314390162844799,405722.69,0.0006675135308770582
230,EXPEDIDOR DE MERCADORIAS,36,0.0005982053838484546,405410.99,0.0006670007077771859
231,PROFESSOR DE SOCIOLOGIA NO ENSINO MEDIO,20,0.00033233632436025255,405278.8,0.0006667832227416641
232,LEITURISTA,47,0.0007809903622465936,397663.98,0.0006542549725094839
233,MUSICO INTERPRETE CANTOR,39,0.0006480558325024925,394628.08999999997,0.0006492601873934374
234,GERENTE DE COMUNICACAO,38,0.0006314390162844799,389726.7,0.0006411961963331753
235,ARQUIVISTA,20,0.00033233632436025255,389496.23,0.0006408170165454704
236,ESPECIALISTA DE POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL - EPPGG,20,0.00033233632436025255,388223.36,0.0006387228325893119
237,OPERADOR DE COMPUTADOR (INCLUSIVE MICROCOMPUTADOR),40,0.0006646726487205051,386221.88,0.000635429906128187
