,uf,natureza_juridica,quantidade_contemplados,valor_contemplados,total_quantidade_uf,total_valor_uf,perc_quantidade_contemplados_na_uf,perc_valor_contemplados_na_uf,perc_quantidade_contemplados,perc_valor_contemplados
148,SP,Entidades sem fins lucrativos,1219,177931954.22,4990,376095090.33,0.24428857715430863,0.4731036346788675,0.24428857715430863,0.4731036346788675
149,SP,Entidades Empresariais,114,16474400.02,4990,376095090.33,0.022845691382765532,0.04380381569337888,0.022845691382765532,0.04380381569337888
150,SE,Microempresa-ME,90,4400310.12,389,22373200.18,0.23136246786632392,0.19667772534094405,0.23136246786632392,0.19667772534094405
151,SE,MEI,94,2619517.86,389,22373200.18,0.2416452442159383,0.11708284192360004,0.2416452442159383,0.11708284192360004
152,SE,Empresa de Pequeno Porte (EPP),14,901040.5,389,22373200.18,0.03598971722365039,0.04027320601214055,0.03598971722365039,0.04027320601214055
153,SE,Administração Pública,0,0.0,389,22373200.18,0.0,0.0,0.0,0.0
154,SE,Entidades sem fins lucrativos,184,11807865.96,389,22373200.18,0.4730077120822622,0.5277683060537476,0.4730077120822622,0.5277683060537476
155,SE,Entidades Empresariais,7,2644465.74,389,22373200.18,0.017994858611825194,0.11819792066956782,0.017994858611825194,0.11819792066956782
156,TO,Microempresa-ME,113,3949361.7,321,13810737.01,0.35202492211838005,0.2859631384726513,0.35202492211838005,0.2859631384726513
157,TO,MEI,61,1680094.1,321,13810737.01,0.19003115264797507,0.1216512991872546,0.19003115264797507,0.1216512991872546
158,TO,Empresa de Pequeno Porte (EPP),14,386081.57,321,13810737.01,0.04361370716510903,0.02795517500046871,0.04361370716510903,0.02795517500046871
159,TO,Administração Pública,0,0.0,321,13810737.01,0.0,0.0,0.0,0.0
160,TO,Entidades sem fins lucrativos,129,7468043.64,321,13810737.01,0.40186915887850466,0.5407418615380614,0.40186915887850466,0.5407418615380614
161,TO,Entidades Empresariais,4,327156.0,321,13810737.01,0.012461059190031152,0.02368852580156401,0.012461059190031152,0.02368852580156401
